10000	-153.8
8483.429	-155.7
7196.857	-160.8
6105.402	-164
5179.475	-167.2
4393.971	-168.7
3727.594	-171.5
3162.278	-173.2
2682.696	-174.5
2275.846	-176.5
1930.698	-177.5
1637.894	-178.1
1389.495	-180.4
1178.769	-181.4
1000	-183
848.343	-183.7
719.686	-185.4
610.54	-186.7
517.948	-188.6
439.397	-189.7
372.759	-190.8
316.228	-191.6
268.27	-191
227.585	-190.1
193.07	-188.6
163.789	-187.8
138.95	-187.6
117.877	-187.3
100	-188.2
84.834	-188.9
71.969	-189.5
61.054	-189.7
51.795	-189.3
43.94	-188.8
37.276	-187.7
31.623	-186.4
26.827	-183.9
22.758	-178.9
19.307	-173.7
16.379	-168.3
13.895	-166
11.788	-167.8
10	-164.8
8.483	-156.2
7.197	-148.9
6.105	-146.2
5.179	-141.5
4.394	-139
3.728	-140.7
3.162	-144.2
2.683	-146.8
2.276	-149.7
1.931	-152.4
1.638	-155.6
1.389	-158.6
1.179	-160.9
1	-163.4
0.848	-165.2
0.72	-167.6
0.611	-167.2
0.518	-166.8
0.439	-166.6
0.373	-166.4
0.316	-166.6
0.268	-166
0.228	-165.4
0.193	-164.2
0.164	-162.1
0.139	-161.5
0.118	-162.3
0.1	-160.7
0.085	-159.3
0.072	-160.6
